team1,team2,date,stage,goals1,goals2,played,
Russia,Saudi Arabia,6/14/2018,1,5,1,1,
Egypt,Uruguay,6/15/2018,1,0,1,1,
Morocco,Iran,6/15/2018,1,0,1,1,
Portugal,Spain,6/15/2018,1,3,3,1,
France,Australia,6/16/2018,1,2,1,1,
Argentina,Iceland,6/16/2018,1,1,1,1,
Peru,Denmark,6/16/2018,1,0,1,1,
Croatia,Nigeria,6/16/2018,1,2,0,1,
Costa Rica,Serbia,6/17/2018,1,0,1,1,
Germany,Mexico,6/17/2018,1,0,1,1,
Brazil,Switzerland,6/17/2018,1,1,1,1,
Sweden,South Korea,6/18/2018,1,1,0,1,
Belgium,Panama,6/18/2018,1,3,0,1,
Tunisia,England,6/18/2018,1,1,2,1,
Colombia,Japan,6/19/2018,1,1,2,1,
Poland,Senegal,6/19/2018,1,1,2,1,
Russia,Egypt,6/19/2018,2,3,1,1,
Portugal,Morocco,6/20/2018,2,1,0,1,
Uruguay,Saudi Arabia,6/20/2018,2,1,0,1,
Iran,Spain,6/20/2018,2,0,1,1,
Denmark,Australia,6/21/2018,2,1,1,1,
France,Peru,6/21/2018,2,1,0,1,
Argentina,Croatia,6/21/2018,2,0,3,1,
Brazil,Costa Rica,6/22/2018,2,2,0,1,
Nigeria,Iceland,6/22/2018,2,2,0,1,
Serbia,Switzerland,6/22/2018,2,1,2,1,
Belgium,Tunisia,6/23/2018,2,5,2,1,
South Korea,Mexico,6/23/2018,2,1,2,1,
Germany,Sweden,6/23/2018,2,2,1,1,
England,Panama,6/24/2018,2,6,1,1,
Japan,Senegal,6/24/2018,2,2,2,1,
Poland,Colombia,6/24/2018,2,0,3,1,
Saudi Arabia,Egypt,6/25/2018,3,2,1,1,
Uruguay,Russia,6/25/2018,3,3,0,1,
Iran,Portugal,6/25/2018,3,1,1,1,
Spain,Morocco,6/25/2018,3,2,2,1,
Australia,Peru,6/26/2018,3,0,2,1,
Denmark,France,6/26/2018,3,0,0,1,
Nigeria,Argentina,6/26/2018,3,1,2,1,
Iceland,Croatia,6/26/2018,3,1,2,1,
Mexico,Sweden,6/27/2018,3,0,3,1,
South Korea,Germany,6/27/2018,3,2,0,1,
Serbia,Brazil,6/27/2018,3,0,2,1,
Switzerland,Costa Rica,6/27/2018,3,2,2,1,
England,Belgium,6/28/2018,3,2,1,0,
Senegal,Colombia,6/28/2018,3,0,1,1,
Panama,Tunisia,6/28/2018,3,0,2,0,
Japan,Poland,6/28/2018,3,0,1,1,
